"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,228,"THA","Thailand",1,"Amnat Charoen",1,"Chanuman","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E0A><U+0E32><U+0E19><U+0E38><U+0E21><U+0E32><U+0E19>",NA
2,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E2B><U+0E31><U+0E27><U+0E15><U+0E30><U+0E1E><U+0E32><U+0E19>",NA
3,228,"THA","Thailand",1,"Amnat Charoen",3,"Lu Amnat","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E25><U+0E37><U+0E2D><U+0E2D><U+0E33><U+0E19><U+0E32><U+0E08>",NA
4,228,"THA","Thailand",1,"Amnat Charoen",4,"Muang Amnat Charoen","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E40><U+0E21><U+0E37><U+0E2D><U+0E07><U+0E2D><U+0E33><U+0E19><U+0E32><U+0E08><U+0E40><U+0E08><U+0E23><U+0E34><U+0E0D>",NA
5,228,"THA","Thailand",1,"Amnat Charoen",5,"Pathum Ratwongsa","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E1B><U+0E17><U+0E38><U+0E21><U+0E23><U+0E32><U+0E0A><U+0E27><U+0E07><U+0E28><U+0E32>",NA
6,228,"THA","Thailand",1,"Amnat Charoen",6,"Phana","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E1E><U+0E19><U+0E32>",NA
7,228,"THA","Thailand",1,"Amnat Charoen",7,"Senangkhanikhom","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E40><U+0E2A><U+0E19><U+0E32><U+0E07><U+0E04><U+0E19><U+0E34><U+0E04><U+0E21>",NA
8,228,"THA","Thailand",2,"Ang Thong",8,"Chaiyo","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E44><U+0E0A><U+0E42><U+0E22>",NA
9,228,"THA","Thailand",2,"Ang Thong",9,"Muang Ang Thong","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E40><U+0E21><U+0E37><U+0E2D><U+0E07><U+0E2D><U+0E48><U+0E32><U+0E07><U+0E17><U+0E2D><U+0E07>",NA
10,228,"THA","Thailand",2,"Ang Thong",10,"Pa Mok","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E1B><U+0E48><U+0E32><U+0E42><U+0E21><U+0E01>",NA
11,228,"THA","Thailand",2,"Ang Thong",11,"Pho Thong","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E42><U+0E1E><U+0E18><U+0E34><U+0E4C><U+0E17><U+0E2D><U+0E07>",NA
12,228,"THA","Thailand",2,"Ang Thong",12,"Samko","Amphoe","District","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E2A><U+0E32><U+0E21><U+0E42><U+0E01><U+0E49>",NA
