"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,228,"THA","Thailand",1,"Amnat Charoen",1,"Chanuman",1,"Hua Taphan","Tambon","Sub district",NA,NA
2,228,"THA","Thailand",1,"Amnat Charoen",1,"Chanuman",2,"Kham Phra","Tambon","Sub district",NA,NA
3,228,"THA","Thailand",1,"Amnat Charoen",1,"Chanuman",3,"Kheng Yai","Tambon","Sub district",NA,NA
4,228,"THA","Thailand",1,"Amnat Charoen",1,"Chanuman",4,"Sang Tho Noi","Tambon","Sub district",NA,NA
5,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",5,"Chik Du","Tambon","Sub district",NA,NA
6,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",6,"Hua Taphan","Tambon","Sub district",NA,NA
7,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",7,"Kham Phra","Tambon","Sub district",NA,NA
8,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",8,"Kheng Yai","Tambon","Sub district",NA,NA
9,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",9,"Nong Kaeo","Tambon","Sub district",NA,NA
10,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",10,"Phon Mueang Noi","Tambon","Sub district",NA,NA
11,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",11,"Rattanawari","Tambon","Sub district",NA,"Rattang Wari"
12,228,"THA","Thailand",1,"Amnat Charoen",2,"Hua Taphan",12,"Sang Tho Noi","Tambon","Sub district",NA,NA
13,228,"THA","Thailand",1,"Amnat Charoen",3,"Lu Amnat",13,"Khum Yai","Tambon","Sub district",NA,NA
14,228,"THA","Thailand",1,"Amnat Charoen",3,"Lu Amnat",14,"Lao Phruan","Tambon","Sub district",NA,NA
15,228,"THA","Thailand",1,"Amnat Charoen",3,"Lu Amnat",15,"Na Phu","Tambon","Sub district",NA,NA
16,228,"THA","Thailand",1,"Amnat Charoen",3,"Lu Amnat",16,"Pla Khao","Tambon","Sub district",NA,NA
17,228,"THA","Thailand",1,"Amnat Charoen",3,"Lu Amnat",17,"Srang Nok Tha","Tambon","Sub district",NA,NA
18,228,"THA","Thailand",1,"Amnat Charoen",4,"Muang Amnat Charoen",18,"Bung","Tambon","Sub district",NA,NA
19,228,"THA","Thailand",1,"Amnat Charoen",4,"Muang Amnat Charoen",19,"Huai Rai","Tambon","Sub district",NA,NA
20,228,"THA","Thailand",1,"Amnat Charoen",4,"Muang Amnat Charoen",20,"Kai Kham","Tambon","Sub district",NA,NA
21,228,"THA","Thailand",1,"Amnat Charoen",4,"Muang Amnat Charoen",21,"Kut Pla Duk","Tambon","Sub district",NA,NA
