No.,wl200,wl210,wl220,wl230,wl250
NO3ud,0.685,0.576,0.263,0.058,0.001
B1,0.268,0.035,0.02,0.011,0.006
B2,0.264,0.032,0.018,0.01,0.005
B3,0.265,0.034,0.021,0.013,0.009
B4,0.261,0.033,0.019,0.012,0.008
B5,0.265,0.037,0.023,0.015,0.01
STD1,0.72,0.425,0.2,0.056,0.013
STD2,0.723,0.423,0.198,0.054,0.011
STD3,0.705,0.41,0.19,0.048,0.007
sample1,0.9,0.57,0.262,0.063,0.007
sample2,0.928,0.596,0.275,0.069,0.011
sample3,0.938,0.604,0.278,0.073,0.013
sample4,0.755,0.452,0.21,0.055,0.011
sample5,0.758,0.456,0.21,0.054,0.01
sample6,0.781,0.469,0.217,0.058,0.011
